source_summary,algorithm,run_label,time_basis_column,time_basis_sec,event,hits,total_reads,hit_rate,hit_rate_wilson95_low,hit_rate_wilson95_high,tts95_sec
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74001;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,15.812079204,top50,54,262144,0.000205993652344,0.000157895468897,0.000268739586339,0.877148650301
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74001;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,15.812079204,top10,19,262144,7.24792480469e-05,4.64031884538e-05,0.000113206971172,2.49301546318
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74001;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,15.812079204,global,3,262144,1.14440917969e-05,3.89203141708e-06,3.36496045008e-05,15.7895201616
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,12.599367739,top50,84,262144,0.000320434570312,0.000258853284402,0.000396660252786,0.449290808198
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,12.599367739,top10,24,262144,9.1552734375e-05,6.15267776451e-05,0.000136229795639,1.57261395424
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74007;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,12.599367739,global,3,262144,1.14440917969e-05,3.89203141708e-06,3.36496045008e-05,12.5813922617
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,13.59845704,top50,199,262144,0.000759124755859,0.00066075642577,0.000872124625566,0.20464291772
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,13.59845704,top10,78,262144,0.000297546386719,0.000238442241031,0.000371295599766,0.522215526664
ds_mfg_vqe_reduced_flow_objective_v4/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=262144;maximum_iterations=25,solve_time_sec,13.59845704,global,13,262144,4.95910644531e-05,2.89827794288e-05,8.48516838062e-05,3.13360440396
ds_mfg_vqe_reduced_flow_objective_final/vqe_reduced_top50_sampling_summary.csv,VQE_reduced_surrogate_top50_revisit,seed=74018;optimizer_reads=128;final_reads=524288;maximum_iterations=25,solve_time_sec,30.078369633,top50,391,524288,0.00074577331543,0.000675447894987,0.000823414754933,0.230397667782
