angle_source,p,number_of_reads,maximum_iterations,gamma_sign,guarantee_3regular_maxcut,initial_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],57,1,0.0078125,566.6058999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110110101000011,100011011010100001101001000001000110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],58,1,0.0078125,568.2117999999998,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100101100011000010,110010110001100001000000101110001101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],59,1,0.0078125,568.3718999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0000001100101000010,000000110010100001000000101000010111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],60,1,0.0078125,569.6983999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0001110000110000010,000111000011000001000001000011000011,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],61,1,0.0078125,571.6573999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001101100110000011,100110110011000001110000000110100111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],62,1,0.0078125,572.9408999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110101010000010,100011010101000001011000101000000101,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],63,1,0.0078125,606.0946999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1001000000011000011,100100000001100001110110101010101111,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],64,1,0.0078125,609.5550999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100110001001000010,110011000100100001000000001000100110,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],65,1,0.0078125,610.2720999999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100110100011001010,010011010001100101011000100011110001,true,single,36,1.0e-10,64
Wurtz-Lykov 3-regular tree fixed-angle table; arXiv:2107.00677,2,128,25,-1,0.7559,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],66,1,0.0078125,610.8321999999998,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000110110011000001,100011011001100000111000011000110001,true,single,36,1.0e-10,64
