p,sigma,trial,seed,number_of_reads,maximum_iterations,initial_parameters,base_fixed_angle_parameters,qiskit_parameter_names,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],46,1,0.0078125,948.9499999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001010000101,110100010001001001100110001010000101,521.4669999999998,427.48299999999995,10,,1101000100010010011,110100010001001001111001101001000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],47,1,0.0078125,950.1499999999996,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100001010000010,110110011000110101100100001010000010,479.91869999999966,470.23129999999986,9,,1101100110001101011,110110011000110101100010110000100100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],48,1,0.0078125,955.8844999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10010101110100000,010001100001100100110010101110100000,656.6463999999997,299.2380999999999,5,,0100011000011001001,010001100001100100111010000011100000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],49,1,0.0078125,956.1299999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000101100100000,110111110100001000010000101100100000,485.89869999999974,470.2312999999999,9,,1101111101000010000,110111110100001000001000000001010100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],50,1,0.0078125,956.2979999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000000000110,101110000110000101100100000000000110,657.0598999999997,299.2380999999998,7,,1011100001100001011,101110000110000101100001100010010000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],51,1,0.0078125,957.7759999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10100100010000000,101110000101000100110100100010000000,487.5446999999997,470.2312999999999,7,,1011100001010001001,101110000101000100100110110010001111,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],52,1,0.0078125,961.0494999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100100011000000,001000010100001010100100100011000000,448.06989999999973,512.9795999999999,8,,0010000101000010101,001000010100001010111001000001101000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],53,1,0.0078125,986.7052999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00110001010000010,110100000000010101100110001010000010,559.2222999999997,427.48299999999995,10,,1101000000000101011,110100000000010101101001100101000000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],54,1,0.0078125,998.5222999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00000000000101110,001111011010000101100000000000101110,613.7875999999997,384.7347,7,,0011110110100001011,001111011010000101101001001000010100,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],55,1,0.0078125,999.2532999999996,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10101100010000000,101100000101000000110101100010000000,443.52539999999976,555.7278999999999,9,,1011000001010000001,101100000101000000111001011110001110,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],56,1,0.0078125,999.8298999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,11100101011000000,100010010101010000111100101011000000,486.8502999999999,512.9795999999999,8,,1000100101010100001,100010010101010000101011001000100000,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],57,1,0.0078125,1004.7467999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000001000101000,110001111011101000110000001000101000,577.2637999999997,427.48299999999995,8,,1100011110111010001,110001111011101000100001011000000111,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],58,1,0.0078125,1004.9512999999997,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,10000111000000000,101100110101110000010000111000000000,491.97169999999977,512.9795999999999,8,,1011001101011100000,101100110101110000000110001010001001,true,single,36,1.0e-10,64
2,0.1,1,42101,128,10,0.59690935738;0.246201387349;-0.582859065827;-0.758404202138,0.555;0.293;-0.488;-0.898,β[0];β[1];γ[0];γ[1],59,1,0.0078125,1010.7327999999997,1.1368683772161603e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,00100000010000000,110010000111000110000100000010000000,625.9980999999997,384.73469999999986,5,,1100100001110001100,110010000111000110000010010010010100,true,single,36,1.0e-10,64
