algorithm,result,reads,probability,qubo_energy,energy_check_abs_error,match,projection_match,encoded_match,aux_consistent,best_aux_bits,best_full_bits_for_projection,best_aux_qubo_energy,qubo_energy_gap_to_best_aux,aux_hamming_to_best,matched_ip_obj,flow_bits,full_bits,number_of_reads,maximum_iterations,number_of_layers,use_fast_aer_backend,fast_aer_precision,fast_aer_threads,fast_mps_truncation_threshold,fast_mps_max_bond_dimension,repaired_match,repaired_aux_bits,repaired_full_bits,repaired_qubo_energy,raw_to_repaired_qubo_gap,aux_hamming_to_repaired,repaired_matches_gurobi_pool,repaired_matches_global_optimum,repaired_ip_objective_if_pool
QAOA,49,1,0.015625,1813.9239999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101001010101010000,010100101010101000000110100111010101,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001000000000,010100101010101000010000001000000000,1087.2028999999995,726.7211,11,false,false,
QAOA,50,1,0.015625,1821.120499999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0100010001101001110,010001000110100111011100111001001000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000010101110,010001000110100111000000000010101110,1094.3993999999996,726.7210999999995,11,false,false,
QAOA,51,1,0.015625,1825.7184999999995,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1100011010110001110,110001101011000111011101100011001010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000101110,110001101011000111000000001000101110,1056.2490999999995,769.4694,10,false,false,
QAOA,52,1,0.015625,1860.2491999999997,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0111001110001100100,011100111000110010000100001101110110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000101000100000,011100111000110010000000101000100000,1475.5144999999998,384.7347,7,false,false,
QAOA,53,1,0.015625,1900.8031999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1000000010101101111,100000001010110111100101110010110101,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,01100000010000010,100000001010110111101100000010000010,1003.0888999999995,897.7142999999999,9,false,false,
QAOA,54,1,0.015625,1950.4218999999994,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1101101001100110101,110110100110011010111000100111000010,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000000,110110100110011010100000001000000000,1266.4490999999996,683.9727999999998,8,false,false,
QAOA,55,1,0.015625,1983.3995999999988,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0110010101100010000,011001010110001000011100101101000011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000010111000,011001010110001000010000000010111000,957.4403999999996,1025.9591999999993,12,false,false,
QAOA,56,1,0.015625,1994.9525999999992,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1110001001100011111,111000100110001111101101011101100111,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000100100,111000100110001111100000000000100100,1268.2314999999994,726.7210999999998,9,false,false,
QAOA,57,1,0.015625,2032.8984999999993,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011001010101100110,101100101010110011011110101010001100,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100000000011,101100101010110011000000100000000011,1263.4290999999996,769.4693999999997,10,false,false,
QAOA,58,1,0.015625,2034.5943999999995,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0111101010101100100,011110101010110010011100010000001000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000100000,011110101010110010000000000000100000,1607.1113999999993,427.4830000000002,6,false,false,
QAOA,59,1,0.015625,2079.9067999999993,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101101010101101110,010110101010110111010001111000011000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000001000000010,010110101010110111000000001000000010,1438.6822999999995,641.2244999999998,7,false,false,
QAOA,60,1,0.015625,2113.9010999999996,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,0101001110100110001,010100111010011000110001100111011110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000001000000000,010100111010011000110000001000000000,1258.9350999999997,854.9659999999999,10,false,false,
QAOA,61,1,0.015625,2114.931099999999,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011000111100010001,101100011110001000111001101110100110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10100000000000000,101100011110001000110100000000000000,1259.9650999999994,854.9659999999994,10,false,false,
QAOA,62,1,0.015625,2154.8208999999993,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010010010001111111,101001001000111111111011001101111110,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000100011010000,101001001000111111100000100011010000,1214.3582999999994,940.4625999999998,12,false,false,
QAOA,63,1,0.015625,2534.5845999999988,4.547473508864641e-13,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1010010010100111000,101001001010011100001111100001000011,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,10000000010101000,101001001010011100010000000010101000,1679.6185999999993,854.9659999999994,12,false,false,
QAOA,64,1,0.015625,2712.690299999999,0.0,not_in_gurobi_pool,not_in_gurobi_pool,not_in_gurobi_pool,,,,,,,,1011110010100111101,101111001010011110111101001010110000,64,3,1,true,single,36,1.0e-10,64,not_in_gurobi_pool,00000000000101000,101111001010011110100000000000101000,1943.2208999999993,769.4693999999995,8,false,false,
